Name;alpha;P_alpha;beta;P_beta
aelf;11.032.401.305.506.900;0.002486;0.4918278435791272;8,61E-02
algorand;0.32995226161865837;0.0288;0.9342457633300408;8,64E-63
bancor;0.31059635611896463;0.02578;0.9564384808509392;5,89E-118
basic-attention-token;0.33671712211096866;0.002756;0.9339351727345159;1,32E-66
cardano;0.25629708406858365;0.003804;0.923682493201006;8,78E-69
celsius-degree-token;0.1467224823987672;0.005062;0.9421639596355238;7,61E-128
chainlink;0.2227360173836047;0.00101;0.9514892472185323;3,03E-273
chiliz;0.43477770627887463;0.0008018;0.9394344661642868;4,52E-162
civic;13.555.963.374.104.100;0.0005277;0.402218196523074;0.007779
cortex;0.5784154522678748;0.001975;0.6811839839634453;0.02208
cosmos;0.2538745583550384;0.001201;0.9539446548934698;6,21E-247
dash;0.3834380454254874;0.03527;0.8987176814965653;1,81E-16
decentraland;0.7277454749394908;4,09E-09;0.7487604121661082;1,22E-35
dent;0.4458920941217211;0.01028;0.9568430416645078;5,41E-241
dogecoin;2.347.979.135.254.270;5,50E-04;0.40687484055271245;1,36E-04
elastos;0.21522756317515004;0.02773;0.9535191849611562;8,47E-109
funfair;0.3347648782287664;0.03358;0.9177143641618232;7,87E-14
gnosis;0.32712417584853576;0.0001449;0.7508676035589329;1,84E-06
golem;0.3719740732959294;0.02052;0.8427533084191607;1,92E-62
hive;0.42467884540461365;0.008776;0.9369328644221134;7,61E-42
iostoken;0.2684527402659444;0.02048;0.9088434721952166;9,30E-44
iota;0.19759447957767187;0.02358;0.9671969244040537;4,50E-210
iotex;0.6027751134184665;1,34E-02;0.9648505851209399;3,83E-145
loopring;0.26578913366098045;0.0007437;0.8327389130123676;8,22E-43
maker;0.37516427071233044;0.0001533;0.9267585503641019;8,02E-169
mxc;0.38410057881507526;0.007612;0.6699656949531034;2,55E-04
neo;0.14160344857630436;0.04571;0.9680004933581958;3,33E-137
nexo;0.2373934016375804;3,40E-02;0.9248037474767258;7,19E-127
okb;0.5454308096278327;0.002316;0.8798490880889827;2,34E-08
omisego;0.37255640811761653;9,17E-03;0.9169648407568107;1,16E-154
polymath;0.1763812229120973;0.01391;0.8831748577630061;3,72E-37
ripple;0.817270222939742;0.0004394;0.8225704507698136;3,94E-35
siacoin;0.2965766696395597;0.01145;0.8358927011909445;4,67E-11
stellar;0.6486198454430703;2,28E-04;0.7444928157981878;5,86E-23
swissborg;0.5500129462217398;8,05E-02;0.8397593728819472;1,94E-44
telcoin;0.3277125130270074;0.0004787;0.867012887505974;3,32E-99
theta-token;0.15232852839363153;0.02966;0.9112863762383033;1,51E-54
wazirx;0.35549920528801615;0.0006502;0.957682565256215;6,07E-298
zcash;0.3442001655403166;0.0008711;0.812436576099074;4,04E-22
